product_code,product_name,category,subcategory,brand,unit_price,cost_price,weight_kg,dimensions,stock_quantity,supplier,created_date,status
PROD0023,Pro Cameras 6707,Electronics,Cameras,GlobalBrand,45.27,32.72,21.174,34x32x59cm,20,Supplier_5,2024-07-02,DISCONTINUED
PROD0024,Standard Technical 8464,Books,Technical,TechCorp,1994.59,738.65,22.216,58x46x76cm,111,Supplier_19,2024-01-01,DISCONTINUED
PROD0025,Advanced Non-Fiction 2019,Books,Non-Fiction,ValueBrand,1096.63,851.78,35.752,35x52x22cm,391,Supplier_3,2024-06-02,ACTIVE
PROD0026,Ultra Non-Fiction 8890,Books,Non-Fiction,LocalMaker,570.14,201.6,1.558,87x29x26cm,156,Supplier_10,2024-03-25,OUT_OF_STOCK
PROD0027,Basic Kids 9809,Clothing,Kids,LocalMaker,686.67,366.89,41.619,47x76x46cm,253,Supplier_13,2025-05-21,DISCONTINUED
PROD0028,Pro Furniture 5605,Home,Furniture,GlobalBrand,1383.55,558.7,39.964,75x46x13cm,183,Supplier_1,2023-11-21,DISCONTINUED
PROD0029,Advanced Tablets 9828,Electronics,Tablets,TechCorp,661.5,318.72,48.277,31x78x76cm,977,Supplier_11,2023-10-07,ACTIVE
PROD0030,Premium Audio 7926,Electronics,Audio,PremiumCo,494.04,255.73,9.565,48x10x28cm,591,Supplier_1,2024-02-03,OUT_OF_STOCK
PROD0031,Advanced Fitness 6920,Sports,Fitness,PremiumCo,714.29,556.9,2.36,93x100x97cm,179,Supplier_16,2024-01-26,DISCONTINUED
PROD0032,Pro Accessories 4603,Electronics,Accessories,ValueBrand,1683.85,980.0,6.556,26x29x13cm,838,Supplier_7,2024-03-20,OUT_OF_STOCK
PROD0033,Max Shoes 9672,Clothing,Shoes,LocalMaker,1383.82,494.3,43.78,77x38x5cm,872,Supplier_5,2024-10-10,DISCONTINUED
PROD0034,Max Kitchen 6846,Home,Kitchen,ValueBrand,1029.49,497.61,31.022,29x15x62cm,523,Supplier_10,2025-04-23,DISCONTINUED
PROD0035,Elite Outdoor 1305,Sports,Outdoor,ValueBrand,988.4,494.43,24.564,61x96x76cm,473,Supplier_5,2025-03-25,DISCONTINUED
PROD0036,Ultra Team Sports 4615,Sports,Team Sports,LocalMaker,1277.21,637.23,39.899,26x6x84cm,596,Supplier_9,2025-05-28,OUT_OF_STOCK
PROD0037,Advanced Team Sports 852,Sports,Team Sports,PremiumCo,1722.22,2676.0988583251083,19.933,18x49x43cm,286,Supplier_15,2024-08-14,DISCONTINUED
PROD0038,Ultra Tools 4391,Home,Tools,PremiumCo,188.78,82.05,36.25,59x61x81cm,884,Supplier_7,2024-12-22,ACTIVE
PROD0039,Standard Kids 6027,Clothing,Kids,PremiumCo,712.79,505.33,5.018,7x33x53cm,302,Supplier_18,2023-08-22,ACTIVE
PROD0040,Advanced Tools 1263,Home,Tools,LocalMaker,289.22,128.13,47.215,80x61x99cm,56,Supplier_7,2024-05-24,DISCONTINUED
PROD0041,Max Fiction 8646,Books,Fiction,ValueBrand,2582.12,999.65,32.616,90x63x67cm,523,Supplier_2,2023-12-15,OUT_OF_STOCK
PROD0042,Elite Shoes 6128,Clothing,Shoes,ValueBrand,556.79,231.98,46.42,42x61x42cm,69,Supplier_4,2025-01-29,OUT_OF_STOCK
PROD0043,Advanced Men 249,Clothing,Men,TechCorp,530.45,268.74,38.116,92x46x56cm,144,Supplier_6,2023-12-08,DISCONTINUED
PROD0044,Basic Fiction 6460,Books,Fiction,ValueBrand,1283.05,696.5,44.918,89x24x45cm,876,Supplier_5,2023-11-16,DISCONTINUED
PROD0045,Standard Men 9732,Clothing,Men,ValueBrand,260.86,105.13,46.54,26x15x16cm,153,Supplier_6,2025-04-21,DISCONTINUED
PROD0046,Pro Fiction 6083,Books,Fiction,PremiumCo,567.71,438.81,1.546,25x8x67cm,926,Supplier_2,2024-09-16,ACTIVE
PROD0047,Elite Outdoor 9257,Sports,Outdoor,PremiumCo,566.31,428.18,47.718,82x55x61cm,282,Supplier_3,2025-05-30,DISCONTINUED
PROD0048,Elite Accessories 7415,Clothing,Accessories,PremiumCo,1388.91,704.74,38.209,30x40x34cm,706,Supplier_1,2025-04-13,DISCONTINUED
PROD0049,Advanced Fiction 5550,Books,Fiction,PremiumCo,1091.68,373.5,42.783,32x13x31cm,876,Supplier_14,2024-03-22,OUT_OF_STOCK
PROD0050,Basic Furniture 5846,Home,Furniture,TechCorp,1774.32,976.34,20.803,34x72x33cm,600,Supplier_4,2024-07-05,DISCONTINUED
